player_id,player_name,team,season,week,rookie,home,qb_id,touchdown,against,wp,report_status,yards_gained,rolling_yapg,rolling_rushing_yards,rolling_receiving_yards,rolling_rushing_touchdowns,rolling_receiving_touchdowns,player_id_drop,passing_tds,passing_yards,qb_rolling_passing_tds,qb_rolling_passing_yards,prev_rushing_yards,prev_receiving_yards,prev_rushing_touchdowns,prev_receiving_touchdowns,prev_red_zone,rolling_red_zone,played
00-0038543,Jaxon Smith-Njigba,SEA,2024,8,0,1,00-0030565,0,BUF,0.4132231404958678,Healthy,,,0.0,36.0,0.0,0.25,,,,,,0.0,319.0,0.0,1.0,0.5536,0.3333,
00-0038544,Quentin Johnston,LAC,2024,8,0,1,00-0036355,0,NO,0.7560975609756098,Doubtful,,,1.3333333333333333,25.0,0.0,0.3333333333333333,,,,,,4.0,164.0,0.0,3.0,0.5106,0.5333,
00-0038547,Luke Schoonmaker,DAL,2024,8,0,0,00-0033077,0,SF,0.29585798816568043,Healthy,,,0.0,6.5,0.0,0.0,,,,,,0.0,56.0,0.0,0.0,0.5254,0.6364,
00-0038550,Hendon Hooker,DET,2024,8,0,1,00-0033106,0,TEN,0.8888888888888888,Healthy,225.0,225.0,-1.0,0.0,0.0,0.0,00-0033106,3.0,85.0,3.0,85.0,-1.0,0.0,0.0,0.0,0.377,0.6,1.0
00-0038551,Kendre Miller,NO,2024,8,0,0,00-0039376,0,LAC,0.24390243902439024,Healthy,,,36.0,1.0,0.0,0.0,,,,,,36.0,1.0,0.0,0.0,0.5294,0.6667000000000001,
00-0038555,Tank Bigsby,JAX,2024,8,0,1,00-0036971,0,GB,0.38461538461538464,Healthy,390.0,390.0,83.25,7.0,1.0,0.0,00-0036971,2.0,308.0,2.0,308.0,493.0,36.0,4.0,0.0,0.5397,0.5,1.0
00-0038558,Darnell Washington,PIT,2024,8,0,1,00-0029263,0,NYG,0.7101449275362319,Healthy,,,0.0,20.25,0.0,0.0,,,,,,0.0,91.0,0.0,1.0,0.6102000000000001,0.8,
00-0038559,Michael Wilson,ARI,2024,8,0,0,00-0035228,1,MIA,0.3355704697986577,Healthy,389.0,389.0,0.0,38.0,0.0,0.25,00-0035228,2.0,307.0,2.0,307.0,0.0,283.0,0.0,3.0,0.6167,0.375,1.0
00-0038563,Tre Tucker,LV,2024,8,0,1,00-0038579,0,KC,0.22727272727272727,Healthy,,,5.5,23.75,0.25,0.0,,,,,,22.0,226.0,1.0,1.0,0.5088,0.5714,
00-0038573,Derius Davis,LAC,2024,8,0,1,00-0036355,0,NO,0.7560975609756098,Doubtful,,,11.0,4.0,0.0,0.0,,,,,,31.0,8.0,0.0,0.0,0.5106,0.5333,
00-0038576,Charlie Jones,CIN,2024,8,0,1,00-0036442,0,PHI,0.5967741935483871,Healthy,280.0,280.0,0.0,0.0,0.0,0.0,00-0036442,1.0,234.0,1.0,234.0,0.0,5.0,0.0,0.0,0.65,0.5,
00-0038582,Clayton Tune,ARI,2024,8,0,0,00-0035228,0,MIA,0.3355704697986577,Healthy,389.0,389.0,2.0,0.0,0.0,0.0,00-0035228,2.0,307.0,2.0,307.0,-4.0,0.0,0.0,0.0,0.6167,0.375,
00-0038583,Dorian Thompson-Robinson,CLE,2024,8,0,1,00-0031503,0,BAL,0.25,Minor,401.0,401.0,44.0,0.0,0.0,0.0,00-0031503,3.0,334.0,3.0,334.0,,,,,0.42310000000000003,0.7273000000000001,
00-0038589,Josh Whyle,TEN,2024,8,0,0,00-0034771,0,DET,0.11111111111111116,Healthy,416.0,416.0,0.0,21.0,0.0,0.0,00-0034771,1.0,266.0,1.0,266.0,0.0,130.0,0.0,0.0,0.6563,0.4286,1.0
00-0038590,Justin Shorter,LV,2024,8,0,1,00-0038579,0,KC,0.22727272727272727,Healthy,,,,,,,,,,,,,,,,0.5088,0.5714,
